date;payment_type;rate (%)
2002-12-31;No charge;100.0
2009-01-01;Cash;100.0
2023-12-31;Credit card;80.0
2023-12-31;Cash;20.0
2024-01-01;Error getting info;12.98
2024-01-01;Credit card;66.13
2024-01-01;Cash;18.12
2024-01-01;No charge;0.74
2024-01-01;Dispute;2.03
2024-01-02;Error getting info;2.86
2024-01-02;Credit card;73.8
2024-01-02;Cash;20.63
2024-01-02;No charge;0.88
2024-01-02;Dispute;1.84
2024-01-03;Error getting info;2.38
2024-01-03;Credit card;75.22
2024-01-03;Cash;19.9
2024-01-03;No charge;0.76
2024-01-03;Dispute;1.74
2024-01-04;Error getting info;2.53
2024-01-04;Credit card;77.43
2024-01-04;Cash;17.72
2024-01-04;No charge;0.66
2024-01-04;Dispute;1.66
2024-01-05;Error getting info;2.99
2024-01-05;Credit card;77.2
2024-01-05;Cash;17.38
2024-01-05;No charge;0.73
2024-01-05;Dispute;1.7
2024-01-06;Error getting info;5.35
2024-01-06;Credit card;75.98
2024-01-06;Cash;16.27
2024-01-06;No charge;0.64
2024-01-06;Dispute;1.76
2024-01-07;Error getting info;3.83
2024-01-07;Credit card;77.93
2024-01-07;Cash;15.64
2024-01-07;No charge;0.72
2024-01-07;Dispute;1.89
2024-01-08;Error getting info;2.63
2024-01-08;Credit card;78.73
2024-01-08;Cash;16.21
2024-01-08;No charge;0.79
2024-01-08;Dispute;1.64
2024-01-09;Error getting info;7.85
2024-01-09;Credit card;75.98
2024-01-09;Cash;14.12
2024-01-09;No charge;0.63
2024-01-09;Dispute;1.42
2024-01-10;Error getting info;3.14
2024-01-10;Credit card;80.48
2024-01-10;Cash;14.39
2024-01-10;No charge;0.56
2024-01-10;Dispute;1.43
2024-01-11;Error getting info;3.16
2024-01-11;Credit card;80.51
2024-01-11;Cash;14.19
2024-01-11;No charge;0.67
2024-01-11;Dispute;1.47
2024-01-12;Error getting info;4.24
2024-01-12;Credit card;78.84
2024-01-12;Cash;14.79
2024-01-12;No charge;0.62
2024-01-12;Dispute;1.51
2024-01-13;Error getting info;4.44
2024-01-13;Credit card;78.67
2024-01-13;Cash;14.59
2024-01-13;No charge;0.58
2024-01-13;Dispute;1.72
2024-01-14;Error getting info;5.74
2024-01-14;Credit card;77.82
2024-01-14;Cash;14.18
2024-01-14;No charge;0.68
2024-01-14;Dispute;1.57
2024-01-15;Error getting info;3.72
2024-01-15;Credit card;79.53
2024-01-15;Cash;14.55
2024-01-15;No charge;0.73
2024-01-15;Dispute;1.47
2024-01-16;Error getting info;5.85
2024-01-16;Credit card;78.57
2024-01-16;Cash;13.61
2024-01-16;No charge;0.62
2024-01-16;Dispute;1.34
2024-01-17;Error getting info;7.28
2024-01-17;Credit card;77.32
2024-01-17;Cash;13.44
2024-01-17;No charge;0.58
2024-01-17;Dispute;1.38
2024-01-18;Error getting info;5.32
2024-01-18;Credit card;78.98
2024-01-18;Cash;13.74
2024-01-18;No charge;0.58
2024-01-18;Dispute;1.37
2024-01-19;Error getting info;4.24
2024-01-19;Credit card;79.54
2024-01-19;Cash;13.97
2024-01-19;No charge;0.68
2024-01-19;Dispute;1.56
2024-01-20;Error getting info;7.76
2024-01-20;Credit card;76.67
2024-01-20;Cash;13.31
2024-01-20;No charge;0.65
2024-01-20;Dispute;1.61
2024-01-21;Error getting info;6.26
2024-01-21;Credit card;77.13
2024-01-21;Cash;14.15
2024-01-21;No charge;0.7
2024-01-21;Dispute;1.76
2024-01-22;Error getting info;3.45
2024-01-22;Credit card;78.73
2024-01-22;Cash;15.41
2024-01-22;No charge;0.86
2024-01-22;Dispute;1.55
2024-01-23;Error getting info;4.21
2024-01-23;Credit card;79.87
2024-01-23;Cash;13.87
2024-01-23;No charge;0.57
2024-01-23;Dispute;1.48
2024-01-24;Error getting info;3.45
2024-01-24;Credit card;81.43
2024-01-24;Cash;13.09
2024-01-24;No charge;0.6
2024-01-24;Dispute;1.43
2024-01-25;Error getting info;4.72
2024-01-25;Credit card;80.32
2024-01-25;Cash;12.98
2024-01-25;No charge;0.58
2024-01-25;Dispute;1.39
2024-01-26;Error getting info;4.26
2024-01-26;Credit card;79.51
2024-01-26;Cash;14.03
2024-01-26;No charge;0.63
2024-01-26;Dispute;1.58
2024-01-27;Error getting info;4.12
2024-01-27;Credit card;79.49
2024-01-27;Cash;14.02
2024-01-27;No charge;0.65
2024-01-27;Dispute;1.72
2024-01-28;Error getting info;8.0
2024-01-28;Credit card;76.38
2024-01-28;Cash;13.31
2024-01-28;No charge;0.62
2024-01-28;Dispute;1.68
2024-01-29;Error getting info;3.04
2024-01-29;Credit card;79.74
2024-01-29;Cash;14.98
2024-01-29;No charge;0.72
2024-01-29;Dispute;1.52
2024-01-30;Error getting info;3.17
2024-01-30;Credit card;81.26
2024-01-30;Cash;13.48
2024-01-30;No charge;0.61
2024-01-30;Dispute;1.47
2024-01-31;Error getting info;3.44
2024-01-31;Credit card;81.49
2024-01-31;Cash;13.01
2024-01-31;No charge;0.66
2024-01-31;Dispute;1.41
2024-02-01;Credit card;66.67
2024-02-01;Cash;33.33
